Nama Pengguna,Produk,Rating,Ulasan,Tanggal
B***Y,"Maspion Desk Fan 10"" PW-1001D",bintang 5,"Alhamdulillah, paket sudah diterima dengan baik terimakasih.",3 minggu lalu
Triwibowo,Maspion Exhaust Fan MV-300 NEX,bintang 5,sesuai diskripsi & pengiriman cepat,3 minggu lalu
A***l,Maspion Food Chopper MFC-201AP,bintang 5,"Kompliyt, sesuai semua. semoga awet 🤲🏼",3 minggu lalu
Maya,Maspion Maslon Saucepan Ebonit Handle Tutup Kaca - Panci Anti Lengket,bintang 5,good,3 minggu lalu
A***d,Maspion Setrika HA-365 Hijab Series,bintang 5,"Setrika nya bagus,berfungsi dgn baik, pengirimam nya cpt sekali.. packing aman..
semoga bisa tahan lama,gk cpt rusak..",3 minggu lalu
Kinanthi,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,"Karena masih baru, pipa tiangnya susah ditarik, kalo nanti pada beli, tariknya pake tang ya :)",3 minggu lalu
Cicih,Maspion Plastik Rak Pengering Piring - Steady Dish Drainer,bintang 5,sangat bagus kualitasnya ok sesuai,3 minggu lalu
Sandy,Maspion Stand Fan 16 Inch F - 412 S,bintang 5,"barang bagus, ada kartu garansi, pasang sendiri mudah, hanya pas datang kemasannya sdh tdk beraturan mungkin di ekspedisinya, overall barang bagus dan sdh langsung dipaka... ",3 minggu lalu
Kosdawi,Maspion Baskom Plastik - Chef Bowl Set Isi 3 pcs,bintang 5,"Kiriman sudah diterima, sesuai dengan diskripsi. Terima kasih",3 minggu lalu
A***d,Maspion Maslon Frypan Set Fancy 18/23 cm NonStick - Wajan Anti Lengket,bintang 5,Bangga produk lokal,3 minggu lalu
wahyudi,Maspion Desk Fan 12 Inch EF-30 P2,bintang 5,jos,3 minggu lalu
P***a,Maspion Jet Pump MJP-241MA,bintang 5,"Suara tidak berisik tapi semburan kencang, jadi irit listrik karena cuma nyala bentar tapi tandon air udah cepat penuh. Packaging aman dan bagus.",3 minggu lalu
P***a,Maspion Box Fan 12 Inch JF-2101 T,bintang 5,"Tipe kipas legendaris yang masih ada timer nya, terkenal bandel dan tahan lama. Irit tempat dan portabel.",3 minggu lalu
Ade,Maspion Setrika HA-365 Hijab Series,bintang 5,Barang sudah sampai dengan sangat cepat. Pesanan sesuai dengan yang digambar. Tks,4 minggu lalu
Ade,Maspion Tatakan Setrika Plastik,bintang 5,Barang sudah sampai dengan sangat cepat. Pesanan sesuai dengan yang digambar. Tks,4 minggu lalu
budiman,Maspion Maslon Frypan Set Fancy 18/23 cm NonStick - Wajan Anti Lengket,bintang 5,"sudah dioakai masak, anti lengket beneran....",4 minggu lalu
budiman,Maspion Mikado Nisuka Set - Alat masak Set Alumunium,bintang 5,"jadiah utk org lain, seneng betul dianya",4 minggu lalu
Hendri,Maspion Rigoletto Anodize Whistling Kettle - Teko Alumunium,bintang 5,"Oke ini ceret, bunyi cukup keras, pengiriman aman dan cepet, harga reasonable",4 minggu lalu
E***a,Maspion Desk Fan 12 Inch EF-30 P2,bintang 5,"good, barang asli",1 bulan lalu
eko,Maspion Box Kontainer Small - Favourite Box Container S,bintang 5,bagus..barang sesuai pesanan,1 bulan lalu
primaxistore,Maspion Box Fan 14 Inch JF-1403,bintang 5,"Barang original, mudah dioperasikan, bergaransi, tapi harus sabar ya... pengiriman lama, bolak-balik disimpan di gudang ekspedisinya",1 bulan lalu
k***a,"Maspion Vanda Melamin Mangkok Bakso 7,5 Inch ayam",bintang 5,"pengiriman cepat, packing aman dan rapih, kualitas bagus 👍👍",1 bulan lalu
k***a,Maspion Vanda Melamin Piring Bulat Tembikar 9 Inchi,bintang 5,"pengiriman cepat, packing aman dan rapih, kualitas bagus 👍👍",1 bulan lalu
T***a,Maspion Setrika HA - 110,bintang 4,lama2 ga terlalu panas ya,1 bulan lalu
Arief,Maspion Stand Fan 16 Inch F-1625 RC,bintang 5,mantap dan unik,1 bulan lalu
K***a,Maspion Tempat Sampah Mobil Plastik - Cario Dustbin,bintang 5,"Dapet yg warna biru, dulu dapet orange, oke dengan harganya kok, pas juga ukurannya di mobil.",1 bulan lalu
T***i,Maspion Rice Cooker MRC 1820 SS (1.8Liter),bintang 5,Alhamdulillah tiba dengan selamat dan sempurna tidak kurang suatu apapun...dan lgsg digunakan Alhamdulillah lancar semuanya...kurir juga mantap cepat murah dikelasnya.ter... ,1 bulan lalu
U***a,Maspion Setrika HA-365 Hijab Series,bintang 5,"Barang bagus ,original.cepat responnya.",1 bulan lalu
Shl,"MASPION EX-308 DESK FAN 12""",bintang 5,👍,1 bulan lalu
Jessica,Maspion Stand Fan 16 Inch F-1625 RC,bintang 4,"Kepalanya ga bisa naik turun, katanya emang gitu dari pabrik, padahal saya lihat review yang lain bisa naik turun.",1 bulan lalu
Tazrie,Maspion Kotak Perkakas - Toolbox 2823,bintang 5,barang OK banget,1 bulan lalu
Agnes,Maspion Vanda melamin Mug 3.5 Inhc + tutup,bintang 5,"mug nya tebal, bagus, gambar lucu, ada tutupnya.
pengiriman super cepat.
thanksssss",1 bulan lalu
GURUH,Maspion Setrika HA - 380,bintang 5,"proses cepat. 
pengiriman cepat. 
kualitas barang baik. 
terimakasih seller.",1 bulan lalu
agung,Maspion Stand Fan 16 Inch F-1625 RC,bintang 5,mantap,1 bulan lalu
A***y,Maspion Vanda melamine Basi pegangan 5 Inch + Ttp Doraemon birthday,bintang 5,Material Produk Bagus Kualitas Produk Bagus Ukuran Produk Sesuai Produk Sesuai....luuucccuuuu..semua sesuai harapan mksh byk,1 bulan lalu
A***y,"Maspion Vanda melamin Mug 3,5 + Ttp Doraemon birthday",bintang 5,Material Produk Bagus Kualitas Produk Bagus Warna Produk Sesuai.....luuuccuuu,1 bulan lalu
A***y,Maspion Vanda Melamin Piring makan 8 Inch Doraemon birthday,bintang 5,"Material Produk Bagus Produk Original Kualitas Produk Bagus.....
luuuccuuuu",1 bulan lalu
Ari,Maspion Setrika HA - 110,bintang 5,barang ok,1 bulan lalu
P***t,MASPION MAGIC COM RICE COOKER MRJ 0623 BSSS (0.6L),bintang 4,"sdh 2x beli (satunya toko offline) 
catatan saya 2x beli tipe ini :
1. di sktr engkol tutup ada patahan kecil
2. sktr tutup samping lecet dalam
3. buka tutup tdk bs maksi... ",1 bulan lalu
Ditha,Maspion Magic Cooker MRJ-1808 Stainless Steel,bintang 1,"Barang yg di kirim penyok ( pas tulisan sni) , kemudian pas mau masak nasi saya klik yg putih didpn ngga nyala ternyata pas diamati itu gambarnya terbalik loh pantas ngga... ",1 bulan lalu
firdasanusi,Maspion Setrika HA-365 Hijab Series,bintang 5,"barang original, bobotnya ringan tapi cepat membuat kain rapi, worth the price",1 bulan lalu
Agung,Maspion Maslon Frypan Set Fancy 18/23 cm NonStick - Wajan Anti Lengket,bintang 5,oke,1 bulan lalu
h***i,Maspion Desk Fan 6 Inch HF-606,bintang 3,"barang yg di pesan dan yg dtg sdkit berbeda dng gambarnya, tp ya sudahlahh",1 bulan lalu
Wanda,Maspion Desk Fan 12 Inch EF-30 P2,bintang 5,barang original bagus....dari dulu suka merk maspion terimakasih yaaa,1 bulan lalu
Gangsar,MASPION MAGIC COM RICE COOKER MRJ-1003 (1L),bintang 5,"Sudah sampai sesuai pesanan, terimakasih",1 bulan lalu
D***y,Maspion Travel Cooker EX-3051 (1 Liter),bintang 5,Sesuai 👍,1 bulan lalu
