Nama Pengguna,Produk,Rating,Ulasan,Tanggal
Friesca,Cosmos Setrika Non Stick Soleplate CI-3130 N,bintang 5,"akhir nya sampei jugaa, bagus barang nya, berfungsi dengan baik, semoga awet deh ini.. makasih seller",2 minggu lalu
Christin,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 5,sdh sampai tp koq gak mangkok-an nya gak ada ya,2 minggu lalu
H***h,Cosmos Rice Cooker Non Stick CRJ-8228 B - 2.0L,bintang 5,berfungsi dgn baik,2 minggu lalu
S***a,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 4,"gambar utama harus diganti, karena bikin konsumen bingung. kirain ini dapat baskom dan penyangga mixer nya, ternyata beda kode produk. dan baru tau kalau yang dapat mixer... ",2 minggu lalu
ikbal,Cosmos NEW AIR FRYER CAF-6603,bintang 5,berfungsi baik,2 minggu lalu
MUHAMAD,Cosmos Harmond CRJ-6368 - Rice Cooker 2 L,bintang 5,"barang original, mudah""an awet barangnya",2 minggu lalu
Lingtyas,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 5,👍🏼,2 minggu lalu
Ahmad,Cosmos CB-281 P - Blender 2 L,bintang 5,"barang nya sesuai, pengantaran nya cepat, penjual nya fast response.
semoga awet barang nya",2 minggu lalu
F***z,Cosmos CIS-418 - Setrika Listrik,bintang 5,Mantabb semoga awet,2 minggu lalu
altama,Cosmos Kompor Induksi Listrik 1 Tungku CIC-951,bintang 3,pengemasan dan pengiriman lama,2 minggu lalu
Dozk,Cosmos CRJ-8229 WBS - Rice Cooker 2 L (Tongolan Super),bintang 5,"ini emng alat kukus nya makin enteng apa gmn😅, karena sebelum nya pake merk ini pas sampe enteng bgt. tapi gpp semoga awet kayak yg sebelumnya  Proses pesanan cepat Penj... ",2 minggu lalu
Nur,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 4,semoga tidak seperti brand sebelah...lbh mahal malah cepet rusak..blm juga 1 bulan..hadeuhh,2 minggu lalu
A***m,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,"bagus, ringan cepat panas, semoga awet",2 minggu lalu
upi,Cosmos 9-LDA TWINO - Kipas Angin 2in1 - 9 inch (Desk & Wall),bintang 5,"ok, barang dikirim sesuai pesanan. ternyata ukurannya ga kecil-kecil banget. bahannya kokoh, anginnya kenceng. semoga awet. thank you-imnida, min.",2 minggu lalu
Harry,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,"Barangnya sudah ditest oke.
Tidak ada indikator suhu.
Tapi otomatis akan mati klau sudah mendidih",2 minggu lalu
rengga,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,drumah udh ada 3kipas angin dg model yg sama🤣jd cari yg paling murah dg model yg sama.,3 minggu lalu
BONDAN,Cosmos CB-171 P - Blender 1 L,bintang 5,"Produk sesuai dgn pesanan, pengiriman normal....",3 minggu lalu
Eric,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 1,"yang satu baling""nya beda jadi putihnya tidak bisa masuk, dan chat untuk solusi tidak ada respon sama sekali dari pihak toko",3 minggu lalu
Andi,Cosmos CIS-418 - Setrika Listrik,bintang 5,barang sesui yg dipesan,3 minggu lalu
Jeanny,Cosmos CRJ-1031 - Mini Portable Digital Rice Cooker 0.3 L,bintang 5,"Bentuknya Bagus, blm ditest, semoga ok",3 minggu lalu
Agus,Cosmos CB-281 P - Blender 2 L,bintang 5,"terima kasih seller...atas info cara pemakaian nya,sudah bisa di pakai",3 minggu lalu
Eki,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Tiger,bintang 1,"Mutu Toko & Produk 0/10 👎👎👎 ,Alamat salah ,sampai saya harus tambah biaya ke kurir supaya diantar sesuai alamat yg tertera di tokped & Barang penyok parah ,Pac... ",3 minggu lalu
Wahyu,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,Produk ori dan berkualitas. design modern dan praktis sesuai dengan deskripsi.recommended seller.,3 minggu lalu
D***g,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,👍,3 minggu lalu
D***e,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,Belum dicoba. Semoga berfungsi bagus dan awet,3 minggu lalu
Naufal,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Tiger,bintang 1,"memilih pengiriman instant 3 jam dimaksudkan agar cepat dipakai dan hasilnya masih di proses sampai h+1
dengan alasan sedang mengalami kendala sistem penginputan",3 minggu lalu
Femmi,Cosmos Harmond CRJ-6368 - Rice Cooker 2 L,bintang 5,pengiriman oke barang bagus,3 minggu lalu
Mas,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 5,"produk original dan berfungsi dengan baik.
respon seller baik
pengiriman cepat
terima kasih",3 minggu lalu
