Nama Pengguna,Produk,Rating,Ulasan,Tanggal
Rony,Cosmos Rice Cooker Harmond CRJ-6028 G - 1.2L,bintang 5,"Proses pesanan cepat.
Respon penjualnya top.
Packaging rapi.
Sudah dicoba tes, pemanas berfungsi dengan baik.
Ngga pilih warna dan dikirim warna hijau, cocok sama alat da... ",2 bulan lalu
Anjar,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"barang cepat sampai.
mantaf",2 bulan lalu
Muhammad,16WFGR,bintang 5,mantapp👍👍,2 bulan lalu
Dzakwan,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 2,Bayar Hari Rabu tapi baru dikirim Kamis. Ditambah baru sampai Di tangan hari Sabtu. Padahal bayar delivery next day yang pricenya sama dengan harga barangnya. Tolong lebi... ,2 bulan lalu
F***N,Cosmos Rice Cooker Non Stick CRJ-8228 B - 2.0L,bintang 5,barang aman  sampai tujuan,2 bulan lalu
K***i,Kipas Angin 16-PDB Electric Fan Twino (Meja dan Dinding),bintang 5,setelah di rangkai suaranya berisik,2 bulan lalu
N***n,Cosmos CB-281 G - Blender 2 L,bintang 5,barang original pengiriman cepat,2 bulan lalu
beduluye,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,"Produk mantap udah dicoba joss
Seller responsive",2 bulan lalu
H***s,Cosmos Rice Cooker Stainless Steel CRJ-9308 - 2 L,bintang 2,"Pengiriman gak ada komplain, cuman rice cookernya yang bermasalah. Nyoba masak beras 1 liter belom mateng tapi udah ctek duluan, diulang lagi masaknya berkali kali tetep... ",2 bulan lalu
Fifi,COSMOS RICE COOKER  NON STICK CRJ 3012 O candy series ,bintang 5,"Bener2puas ama barang nya n pelayanan toko... kondisi barang sampe dgn amam, udh dites hasilnya nasi  matang,,,, watt kecil..👍",2 bulan lalu
Hadi,Cosmos COTG-550 - Tritan Bottle 570 ml - Black,bintang 5,bagus original cuma minus di pengiriman yang super lama.. 20 hr mungkin baru sampai,2 bulan lalu
Zhiie,Cosmos CB-282 P - Blender 2 L,bintang 5,"Produk original dan berfungsi dengan baik.
Produk lengkap dan aman tidak ada yg pecah atau rusak , cuma kecewa aja kirain tutupnya warna biru seperti yg digambar tau nya... ",2 bulan lalu
Miftahuddin,Cosmos NEW AIR FRYER CAF-6603,bintang 5,Produk original. Semoga awet.,3 bulan lalu
Firman,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,Alhamdulillah sudah sampai dan berfungsi dengan baik. Insya Allah awet. Terima kasih banyak. ✌️,3 bulan lalu
Ida,Cosmos CRJ-9303 - Rice Cooker 2 L,bintang 5,puas,3 bulan lalu
A***i,Cosmos Rice Cooker Harmond CRJ-6028 G - 1.2L Mama Suka,bintang 5,"sesuai diskripsi,sesuai dgn yg ingin sy beli,packing standar,respon penjual ok,over all ok,thx",3 bulan lalu
Alpi,Cosmos FP-300 - Food Processor 300 ml,bintang 5,"barang lengkap dan berfungsi sempurna. tapi untuk menghaluskan bumbu hasilnya kasar, karna mata pisaunya cuma 2.",3 bulan lalu
Iman,Cosmos CB-282 G - Blender 2 L,bintang 5,barang sampai dengan selamat dan berfungsi,3 bulan lalu
A***a,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,"Keren udah ngincer dr lama, alhamdulillah akhirnya bisa punya",3 bulan lalu
Lisda,Cosmos CRJ-1001 N - Rice Cooker 0.6 L,bintang 5,"pesen sesuai gambar, masa diksh wrn pink, btw tq lah",3 bulan lalu
Sedhah,Cosmos Blender - Food Processor - FP-313 Tosca - 1.2 liter,bintang 5,Barang bagus berfungsi dengan baik,3 bulan lalu
shofiyyah,Cosmos CB-171 P - Blender 1 L,bintang 5,bagus semoga awet :),3 bulan lalu
A***m,Cosmos Setrika Uap Ceramic Soleplate CI-4910 C,bintang 4,Biasa aja,3 bulan lalu
C***a,Cosmos Rice Cooker Non Stick CRJ-8228 B - 2.0L,bintang 5,"Pengiriman cepat, barang sesuai pesanan",3 bulan lalu
Handi,WADESTA BESI SIF-1804 S,bintang 5,puas👍👍,3 bulan lalu
S***i,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,barang sesuai deskripsi .. packing aman ...,3 bulan lalu
i***m,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,kereenn,3 bulan lalu
y***i,Cosmos CB-282 P - Blender 2 L,bintang 5,barang ok berfungsi dngan baik..,3 bulan lalu
Setyo,Cosmos CB-171 P - Blender 1 L,bintang 5,joss gandoss,3 bulan lalu
he,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 5,Aman rapi,3 bulan lalu
A***a,Cosmos Rice Cooker Harmond CRJ-6028 G - 1.2L Mama Suka,bintang 5,Nasi matang merata 👍 Garansi terjamin Mutu terjamin SNI Gampang dibersihkan,3 bulan lalu
S***i,Cosmos Rice Cooker Non Stick CRJ-8228 B - 2.0L,bintang 5,"Alhamdulillah,,, kondisi barang baru, bagus dan pengemasan oke..",3 bulan lalu
S***i,Cosmos CRJ-3307 GMBORI,bintang 3,"bonus nya tidak ada,makasih",3 bulan lalu
nurul,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand",bintang 4,bagus sih cuman rada lecet sedikit tapi semoga aja awet,3 bulan lalu
Jemy,Cosmos CRJ-9303 - Rice Cooker 2 L,bintang 3,"Kualitas produk sangat bagus, mudah2an awet, hanya sedikit kecewa sama respon chat penjual yang lambat banget, serta pengiriman yang lama padahal ini official store, tern... ",3 bulan lalu
galiharya,Cosmos Rice Cooker Non Stick CRJ-3121 AF- 1.8L,bintang 5,Gampang dibersihkan,3 bulan lalu
C***e,Cosmos 12 DSE - Kipas Angin Meja 12 inch,bintang 5,"produk OK sesuai deskripsi. masukan saja utk ADMIN, kalo ditanya via chat harap respon jawabannya lebih cepat dan memuaskan pembeli.",3 bulan lalu
TopGun,Cosmos COTG-540 - Tritan Bottle 400 ml - Purple,bintang 5,mantappp,3 bulan lalu
TopGun,Cosmos COTG-550 - Tritan Bottle 570 ml - Black,bintang 5,kereeeen,3 bulan lalu
S***o,Cosmos 16 SBI - Kipas Angin 2in1 16 inch (Stand & Desk),bintang 5,kipas angin berfungsi dgn baik dan cepat dikirim.,3 bulan lalu
M***a,Cosmos Setrika Ceramic Sole Plate CI-3150 C,bintang 5,"Setrikanya memang tipe yang berat gitu. Proses cepat & pengiriman standard, packingnya aman.",3 bulan lalu
Yati,Cosmos FP-300 - Food Processor 300 ml,bintang 5,"bagus dan berfungsi tp blm dicoba blend makanan, semoga pisaunya tajam ya, thanks",3 bulan lalu
tina,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,blm dites nyalain,3 bulan lalu
Neng,Cosmos Setrika Non Stick Soleplate CI-3130 N,bintang 5,bagus barangnya... enteng kuga,3 bulan lalu
gunung,Cosmos Setrika Listrik CI-3110 C,bintang 5,"barang original, harga kompetitif n pengiriman cepat",3 bulan lalu
gunung,Cosmos Rice Cooker Stainless Steel CRJ-9308 - 2 L,bintang 5,"barang original, harga kompetitif dan pengiriman cepat",3 bulan lalu
L***r,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Tiger,bintang 5,keren,3 bulan lalu
A***u,Cosmos CM-1679 - Hand Mixer,bintang 4,"kualitas barang sesuai harga, not bad lah..
semoga awet.",3 bulan lalu
M***l,Cosmos CB-282 P - Blender 2 L,bintang 5,"masyaallah barangnya sesuai selamat sampai tujuan
suka banget🥰",3 bulan lalu
Joshua,Cosmos 16-WFC - Kipas Angin / Wall Fan 16 inch,bintang 5,Semoga awet,3 bulan lalu
Ocki,Cosmos CRJ-1031 - Rice Cooker 0.3 L Mama Suka,bintang 5,"brg sesuai, blm dipakai. mdh2an awet",3 bulan lalu
I***n,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),bintang 5,Sesuai pesanan dan cepat sampai..,3 bulan lalu
I***n,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),bintang 5,Sesuai pesanan dan cepat sampai..,3 bulan lalu
Ronny,Cosmos Rice Cooker Harmond CRJ-6028 V - 1.2L,bintang 5,"barang bagus, murah, respon cepat",3 bulan lalu
irawan,Cosmos Setrika Non Stick Soleplate CI-3130 N,bintang 5,"Material Produk Bagus Kualitas Produk Bagus Produk Original Ukuran Produk Sesuai barang sdh sampai dan oke, fast respon, seller ramah dan pelayanan sangat memuaskan, nnti... ",3 bulan lalu
J***n,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,Terima kasih. Belum dibuka. Semoga bekerja waktu mau dipakai.,3 bulan lalu
J***n,Cosmos Harmond CRJ-6123 - Rice Cooker 0.6 L Mama Suka,bintang 5,Terima kasih.,3 bulan lalu
FITO,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"THANKYOU PROMO NYAAAAA SERBA 50 RIBU DI WIB, AYOOO GAESSS CEK TOKO ORANGE NAMA MOOCY.STOREE BANYAK BARANG PROMO LOH DAN MURAAAH MURAAAH LETSGOKK",3 bulan lalu
sandika,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,"saran aja,, ekspedisinya di ganti untuk yg gratis ongkir, karena anter aja mah kadang lama banget.

untuk barang Alhamdulillah oke, muda mudahan awet",3 bulan lalu
Mohamad,Cosmos 12 DSE - Kipas Angin Meja 12 inch,bintang 5,"Awet, udah beberapa bulan masih kencang",3 bulan lalu
Noviyanti,Cosmos CRJ-3126 - Rice Cooker 1.8 L (Low Watt),bintang 5,Nasi matang merata 👍 Mutu terjamin SNI Garansi terjamin Ringan tapi kokoh Gampang dibersihkan Proses pesanan cepat Packaging aman 🙏 Packaging rapi Nasinya tahan lama 🍚... ,3 bulan lalu
Y***i,Cosmos CRJ-1001 N - Rice Cooker 0.6 L,bintang 5,barang ori dan bagus,3 bulan lalu
Maya,Cosmos CRJ-3232 - Rice Cooker 1.8 L,bintang 5,"barang sedikit cacat bagian depan,gompal",3 bulan lalu
N,Cosmos CIS-318 F1 - Setrika Listrik,bintang 5,"Barang original, berfungsi semuanya, garansi resmi, packaging aman",3 bulan lalu
heri,Cosmos 12-BFE ONY - Box Fan 12 inch with Mosquito Repellent,bintang 5,pengiriman lebih cepat dari perkiraan..,3 bulan lalu
a***s,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,"Baru di bongkar, belom dicoba.. mudah2an awet",3 bulan lalu
R***i,Cosmos CB-282 G - Blender 2 L,bintang 3,mohon diperhatikan lagi QCnya karna barang datang kabel power Putus,3 bulan lalu
R***i,Cosmos 12 DSE - Kipas Angin Meja 12 inch,bintang 5,"Packing aman, barangnya lengkap sesuai deskripsi dan tidak ada kerusakan👍🏻",3 bulan lalu
R***a,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 1,"pengiriman lama bgt , padahal pilih instan tapi seperti same day . slow respon juga . 👎",3 bulan lalu
Samuel,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"Barang bagus, lumayan murah dan di box terdapat tulisan ""UNTUK PASANGAN BARU"". Cocok banget buat hadiah pernikahan pengantin baru!",3 bulan lalu
amelia,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,bintang 5,kompor nya lucu bangett,3 bulan lalu
S***l,Cosmos CB-282 G Jelly star,bintang 5,Pisaunya tajam 👍 Gampang dibersihkan Garansi terjamin Nggak cepat berbau Ringan tapi kokoh Gampang dipakai Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏... ,3 bulan lalu
e***a,Cosmos 9-LDA TWINO - Kipas Angin 2in1 - 9 inch (Desk & Wall),bintang 5,"Anginnya kenceng,ok",3 bulan lalu
Naomi,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,"bagus banget, untuk harga segini sangat worth it!",3 bulan lalu
R***y,Cosmos CRJ-8229 WBS - Rice Cooker 2 L (Tongolan Super),bintang 5,"Pengiriman cepat, paking rapih dan penjual ramah.",4 bulan lalu
A,Cosmos Setrika Non Stick Soleplate CI-4110 N,bintang 5,barang aman bagus dan packingan aman rekomended cepet panas,4 bulan lalu
Solihin,Cosmos Harmond CRJ-6123 - Rice Cooker 0.6 L Mama Suka,bintang 5,Mutu terjamin SNI Garansi terjamin Penjualnya ramah banget Packaging aman 🙏 Proses pesanan cepat Packaging rapi Respon penjualnya top Gampang dibersihkan Ringan tapi kok... ,4 bulan lalu
M***a,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,bagus,4 bulan lalu
Naufal,Cosmos CRJ-3307 GMBORI,bintang 5,Nasi matang merata 👍 Nasinya tahan lama 🍚 Ringan tapi kokoh Garansi terjamin Proses pesanan cepat Packaging aman 🙏 Gampang dibersihkan Packaging rapi Mutu terjamin SNI,4 bulan lalu
m***m,Cosmos ELECTRIC FAN WIF-1803 S,bintang 5,"double bearing jadi suaranya halus banget, angin menyebar rata dan body kelihatannya kokoh terimakasih",4 bulan lalu
Bewok,Cosmos ELECTRIC FAN WIF-1803 PS,bintang 4,"ada 1 baut yang aus, namun secara keseluruhan sesuai ekspetasi",4 bulan lalu
Siti,Cosmos CB-282 G Jelly star,bintang 5,"paket aman, performa mantapp",4 bulan lalu
A***i,Cosmos CB-281 G - Blender 2 L,bintang 1,"Pengiriman lama, saya pesan pengiriman instant tapi tdk dikirim di hari yg sama, besoknya harus nyinyir follow up dan dikirim sore nya. Kalau mau beli dengan pengiriman i... ",4 bulan lalu
Puji,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,packing rapih sukses selalu,4 bulan lalu
A***r,Cosmos 12-DAR N ONY - Kipas Angin Meja 12 inch,bintang 5,"Barangnya Ori, Packingnya Rapi Teratur, Barang sesuai Pesanan, Pemasangan Kipas Cukup Mudah. Terima Kasih Cosmos 😊😁👍",4 bulan lalu
himalaya,Cosmos 16-SN ONY - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"barang sesuai, ori...packingan rapi...tapi sayang pegirimannya nyasar2 lama...2 minggu baru sampe...dah lah gitu aja...",4 bulan lalu
M***d,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,puasss.. barang mantap..api bagus..simple..aman..cepat sampai pakai grab fast,4 bulan lalu
R***a,COSMOS RICE COOKER  NON STICK CRJ 3012 B candy series ,bintang 5,"terima kasih,sesuai gambar suka banget sm warnanya
terima kasid",4 bulan lalu
Lina,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand",bintang 5,"barangnya dikemas rapi, alasnya kokoh dan lumayan berat, instalasinya mudah, berfungsi dengan baik, semoga awet ☺👍",4 bulan lalu
Naelul,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 5,"pengiriman cepat, barang sudag digunakan dan baik",4 bulan lalu
f***y,Cosmos Marble CFP-18 MB F - Non Stick Frypan 18 cm,bintang 4,lama dikirim,4 bulan lalu
RAYDEN,Cosmos CB-282 G Jelly star,bintang 5,Pisaunya tajam 👍 Nggak cepat berbau Packaging aman 🙏,4 bulan lalu
M***M,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,Semoga barangnya awet dan tahan lama ya,4 bulan lalu
Tuti,Cosmos Blender CB-502 APC jelly star,bintang 5,"respon admin memuaskan, pengiriman juga ok, barang sampai juga dengan selamat, produk juga top markotop",4 bulan lalu
umi,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,Bagus dan kokoh,4 bulan lalu
ARDI,Cosmos On The Go CB-522 - Personal Blender,bintang 5,"kereeeen, bekerja dengan baik",4 bulan lalu
airin,Cosmos ELECTRIC FAN WIF-1803 PSR,bintang 5,"Packaging Rapi & Aman
barangnya bekerja dengan baik Produk Sesuai Deskripsi Kualitas produk bagus",4 bulan lalu
Handi,Cosmos 9-LDA TWINO - Kipas Angin 2in1 - 9 inch (Desk & Wall),bintang 5,Barang sudah diterima dgn baik,4 bulan lalu
Herman,Cosmos FP-300 - Food Processor 300 ml,bintang 4,Proses dan pengiriman barang lama banget,4 bulan lalu
Willy,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"bergaransi, pengiriman barang full bubble wrap, murah dan ringan. Saat saya coba pertama kali anginnya kencang. kekurangannya hanya pengatur kecepatan yang harus diputar... ",4 bulan lalu
Calvin,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,setrika cepat panas,4 bulan lalu
D***i,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 3,"Didalam atas rice cookernya udh beda dengan yg lama gada tutup yg bisa dicopot untuk dicuci jadinya atasan rice cooker cepat berkeringat dan nasi jadi cepat kering.

Kala... ",4 bulan lalu
Hanny,Cosmos CIS-418 - Setrika Listrik,bintang 3,"1. Pengiriman Lama
2. Kualitas Barang Sedikiit Bermasalah. Setrika dalam kondisi Biasa saat dinyalakan Lampu Penunjuk untuk Nilon Tidak Menyala. Menyala saat di Sutera. I... ",4 bulan lalu
Firman,Cosmos CB-282 P - Blender 2 L,bintang 4,"kurir anter aja sangat lambat, tidak rekomen",4 bulan lalu
Jang,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,terimakasih,4 bulan lalu
oom,Cosmos CB-282 P - Blender 2 L,bintang 5,"fast respon, packing rapi. barang sesuai gambar.",4 bulan lalu
A***f,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,mantap,4 bulan lalu
M***d,Cosmos TIF-2001 s - Kipas Angin / Stand Fan 20 Inch,bintang 5,barang sesuai pesanan. packing aman. isi lengkap. makasih ya,4 bulan lalu
F***h,Cosmos Blenz CB-832PC - Blender 2 L,bintang 5,"blum di coba sih, tapi  Garansi terjamin Packaging aman 🙏 Packaging rapi Respon penjualnya top. semoga berfungsi baik & awet",4 bulan lalu
Devi,Wall Fan Cosmos WBF1804,bintang 5,brg sdh smpi,4 bulan lalu
R***a,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),bintang 3,"pengiriman oke, cuman waktu itu pas dateng tutupnya gabisa nutup rapet.. terus dibawa ke customer service ternyata proses claimnya ribet juga. jadi gak kepake deh barangn... ",4 bulan lalu
S***l,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"Aman, Berfungsi dengan baik 👍",4 bulan lalu
Wachyu,Cosmos ELECTRIC FAN WIF-1803 PS,bintang 5,"barang oke, kokoh, Packaging Rapi & Aman Produk Sesuai Deskripsi Kualitas produk bagus. cuma role pengiriman tidak terdeteksi, jadi was2 barang dikirim atau tidak.",4 bulan lalu
Andy,Cosmos Setrika Non Stick Soleplate CI-3130 N,bintang 5,"barang ok, mudah2an awet dipakai",4 bulan lalu
Andy,Cosmos CRJ-1031 - Rice Cooker 0.3 L Mama Suka,bintang 5,"barangnya ok, mudah2an awet dipakai",4 bulan lalu
Lily,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,bintang 5,barang sesuai.packaging aman.recomanded,4 bulan lalu
S***I,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,pengiriman cepat produk berfungsi dengan baik,4 bulan lalu
J***U,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,pengiriman cepat produk sesuai dan berfungsi dengan baik,4 bulan lalu
P***i,COSMOS RICE COOKER  NON STICK CRJ 3012 O candy series ,bintang 5,"nasi matang merata, gampang di cucinya krn ga lrngket",4 bulan lalu
Asyam,Cosmos CB-282 P - Blender 2 L,bintang 5,"barang bagus, dan rekomended tokonya",4 bulan lalu
Rayhan,Cosmos Harmond CRJ-6023 N MAMASUKA,bintang 5,keren abis... terimakasih,4 bulan lalu
Neni,Cosmos 12-DAR N ONY - Kipas Angin Meja 12 inch,bintang 5,Barang sesuai poko ny bagus,4 bulan lalu
Irmansyah,Cosmos CB-282 P - Blender 2 L,bintang 5,barang bagus normal semua namun tutupnya tidak sesuai permintaan yng dikirimkan berbeda minta tutup gelas warna biru dikirim putih,4 bulan lalu
SOHIPUL,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"barang bagus dan original. kokoh, anginnya adem",4 bulan lalu
araa,Cosmos FP-313 - Food Processor 1.2 L,bintang 5,mantap berfungsi,4 bulan lalu
ruryatma,Kipas Angin 12-PDB Electric Fan Twino (Meja dan Dinding),bintang 2,"Maaf mau info terkait pengiriman harusnya tanggal 24 Sept tiba sesuai estimasi pengiriman, tapi barang sampai di tanggal 25 Sept.

Untuk kelengkapan barang ada item yang... ",4 bulan lalu
Ruspandi,WADESTA BESI SIF-1804 S,bintang 5,rekomended,4 bulan lalu
Apriyanto,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,sesuai deskripsi,4 bulan lalu
Apriyanto,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,sesuai deskripsi,4 bulan lalu
Annisaa,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"pengiriman sesuai estimasi
barang sesuai deskripsi",4 bulan lalu
rinto,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,pengiriman cepat. bagus barangnya,4 bulan lalu
Syahrullah,Cosmos CRJ-1031 - Rice Cooker 0.3 L Mama Suka,bintang 5,"Barang sesuai dan packing rapih . Semoga awet , terimakasih",4 bulan lalu
Iqbal,Cosmos CB-631 HB - 3in1 Hand Blender 500 ml,bintang 5,Bareng mendarat dengan aman. cocok sebagai hadiah,5 bulan lalu
Angvi,Cosmos NEW AIR FRYER CAF-6603,bintang 5,minus capitan nya padahal di gambar ada,5 bulan lalu
Herry,Cosmos TIF-2001 s - Kipas Angin / Stand Fan 20 Inch,bintang 5,"alhamdulillah,berfungsi dgn baik,terimakasih",5 bulan lalu
Yuliana,Cosmos NEW AIR FRYER CAF-6603,bintang 5,pesanan sudah diterima dengan kondisi baik..sudah dicoba buat masak ikan dan toast roti..semoga awet..terima kasih 🙏🏻☺️,5 bulan lalu
Yuniati,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,Barang sesuai dan bagus,5 bulan lalu
E***a,Cosmos CRJ-3126 - Rice Cooker 1.8 L (Low Watt),bintang 5,Proses pesanan cepat Packaging aman 🙏,5 bulan lalu
Muhammad,COSMOS RICE COOKER  NON STICK CRJ 3012 O candy series ,bintang 5,Nasi matang merata 👍 Nasinya tahan lama 🍚 Packaging rapi Packaging aman 🙏,5 bulan lalu
M***a,Cosmos CIS-428 - Setrika Listrik,bintang 5,"barang sesuai deskripsi, cepet sampai juga.",5 bulan lalu
R***h,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"semua ok, kecuali kabel yang agak pendek.",5 bulan lalu
P***i,Cosmos FP-300 - Food Processor 300 ml,bintang 5,paketnya udah nyampe sesuai deskripsi maaf baru di Bahas terimakasih sellernya kurirnya 🙏🙏,5 bulan lalu
Jernih,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Koala,bintang 5,"Barang yang dikirim sesuai, waktu pengiriman sesuai, packaging baik, kondisi barang baik.",5 bulan lalu
Jernih,Cosmos Harmond CRJ-6123 - Rice Cooker 0.6 L,bintang 5,"Barang yang dikirim sesuai, waktu pengiriman sesuai, packaging baik, kondisi barang baik.",5 bulan lalu
Prasetyo,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,mantap...lancar angin kenceg..semoga awet,5 bulan lalu
Nia,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,mantap 👍👍👍,5 bulan lalu
withalia,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,bintang 5,bentuknya imut. gampang buat dibawa kemana aja. cocok buat taro dikosan. belum dicoba. semoga ok semuanya. thnx seller,5 bulan lalu
Yusak,Cosmos CRJ-3255 free gimmick,bintang 4,"semoga kualitasnya baik, made in vietnam",5 bulan lalu
Nugroho,Cosmos 12-BFD - Kipas Angin / Box Fan 12 inch,bintang 5,"bagus. speed 1 hening, tapi angin ngalir. semoga awet",5 bulan lalu
Elieser,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,"barang sesuai,pengiriman cepat,packing bagus",5 bulan lalu
M,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 4,produk sih bagus.... keren tapi sayang pengiriman agak lama....,5 bulan lalu
Rokibani,Cosmos NEW AIR FRYER CAF-6603,bintang 2,katanya bonus capitan. tapi ndak dapat. kecewa sama cosmos,5 bulan lalu
antoko,Cosmos Harmond CRJ-6601Mama Suka,bintang 4,"iyaa bener anti gores sih, cuma ternyata lengket banget sulit. Cuma selebihnya keres siih",5 bulan lalu
Heri,Cosmos FP-313 - Food Processor 1.2 L,bintang 5,cosmosnya sdh diterima...mudah2n awet,5 bulan lalu
P***a,Cosmos CB-171 P - Blender 1 L,bintang 5,buat hadiah..yg dikasi suka sekali..trims,5 bulan lalu
P***a,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,suka.. dinyalain bareng pke AC ga jegleg. utk kostan dgn daya 1300watt.,5 bulan lalu
Baju,Cosmos TIF-2001 s - Kipas Angin / Stand Fan 20 Inch,bintang 5,bla bla bla bla bla,5 bulan lalu
Ade,Cosmos Setrika Listrik CI-3110 C,bintang 5,mantap ...,5 bulan lalu
d***y,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,barang bagus mulus,5 bulan lalu
Idik,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 5,Barang yang dikirim lengkap Barangnya original 👍,5 bulan lalu
S***a,Cosmos CRJ-8229 BSS - Rice Cooker 2 L (Tongolan Super),bintang 5,barang bagus harga oke respon pejual cepat,5 bulan lalu
Bobby,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 4,"kipas agak berisik dan kabel kurang panjang, tapi secara keseluruhan lumayan lah",5 bulan lalu
R***i,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,makasih proses cepat..rekomend,5 bulan lalu
dwi,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,"barang dikirim sesuai permintaan, di coba  langsung berfungsi dengan baik",5 bulan lalu
Hampri,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,"Hal yang menyebalkan membeli produk dari official store itu, respon lambat dan pengirimannya lama.",5 bulan lalu
whools,"Cosmos CWD-1150 P - Dispenser Hot, Extra Hot & Fresh",bintang 5,barang langsung digunakan panas berfungsi dengan baik,5 bulan lalu
Rani,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand",bintang 5,anginnya kenceng,5 bulan lalu
Rani,Cosmos CRJ-3301 N - Rice Cooker 1.8 L,bintang 5,mantapp,5 bulan lalu
Bawo,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,"official store jadi garansinya resmi; packaging baik, tidak ada cacat; barang berfungsi sesuai spesifikasi dan respons seller/pengiriman cepat",5 bulan lalu
Diki,Cosmos CRJ-8229 WBS - Rice Cooker 2 L (Tongolan Super),bintang 5,"pengiriman cepat, packing aman dan rapih. barang bagus Packaging aman 🙏 Packaging rapi Proses pesanan cepat",5 bulan lalu
Muhammad,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 5,berfungsi dengan baik 👍,5 bulan lalu
E***o,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,oke,5 bulan lalu
